iDigBio_uuid	Image	Species	Latitude	Longitude	Year	DOY	Elevation	AnnualMonthlyAverageTemp	SpringMonthlyAverageTemp	FirstQuarterMonthlyAverageTemp
011fd0fe-9bb7-411c-9a16-421e42fe0cf2	Erythronium_americanum_011fd0fe-9bb7-411c-9a16-421e42fe0cf2.jpg	Erythronium_americanum	40.617093	-74.171663	1910.30684931507	113	3.88	11.3256392168502	11.7560287167629	1.8312964340051
01d77215-45b5-44b3-8ace-91913ee53250	Erythronium_americanum_01d77215-45b5-44b3-8ace-91913ee53250.jpg	Erythronium_americanum	40.269646	-79.890778	1926.32876712329	121	230.01	9.71006195495526	7.78293877840042	-0.884841581185659
031e14c9-68d3-4805-8bdd-c729d91b94fd	Erythronium_americanum_031e14c9-68d3-4805-8bdd-c729d91b94fd.jpg	Erythronium_americanum	38.792337	-76.65872	1959.25753424658	95	31.76	13.9499894526477	13.6153711266816	3.38312269126376
03361ec5-4000-499a-8ffb-0b6e08bd2de5	Erythronium_americanum_03361ec5-4000-499a-8ffb-0b6e08bd2de5.jpg	Erythronium_americanum	36.580339	-76.152341	1993.23561643836	87	2.3	15.5290257881085	14.0041451056798	6.39203790823619
03e2fb40-f9df-490c-b15c-bec01f777b80	Erythronium_americanum_03e2fb40-f9df-490c-b15c-bec01f777b80.jpg	Erythronium_americanum	38.989548	-76.935705	1978.28493150685	105	20.37	12.3753892630339	11.3914230267207	0.30702938636144
0540061f-6cd4-44af-8abb-eb76d477ab8c	Erythronium_americanum_0540061f-6cd4-44af-8abb-eb76d477ab8c.jpg	Erythronium_americanum	41.810247	-79.268381	1955.34520547945	127	478.11	8.32728984827797	8.76966911554337	-2.65061824520429
05d621b9-e906-4aea-8937-184f7d311241	Erythronium_americanum_05d621b9-e906-4aea-8937-184f7d311241.jpg	Erythronium_americanum	36.438992	-85.352131	2004.22677595628	84	364.93	14.3770031246046	15.1712549974521	5.53630176683267
064be4ff-dcd1-4de7-9505-372dd36c87ad	Erythronium_americanum_064be4ff-dcd1-4de7-9505-372dd36c87ad.jpg	Erythronium_americanum	39.055682	-77.010807	1975.2602739726	96	75.3	12.8172248055538	11.0240830381711	3.51513721048832
069efa71-7f6e-466b-80ad-f2550d941845	Erythronium_americanum_069efa71-7f6e-466b-80ad-f2550d941845.jpg	Erythronium_americanum	39.091162	-76.761879	1975.27671232877	102	34.48	12.8786204469701	11.102097094059	3.62021767596404
06d903eb-5827-4cd7-a255-531381d50a13	Erythronium_americanum_06d903eb-5827-4cd7-a255-531381d50a13.jpg	Erythronium_americanum	40.717481	-79.708185	1940.34972677596	129	257.37	8.74150407935182	7.06135831276576	-3.5920521914959
06e188bf-d63a-4738-8e20-598a6d293d5f	Erythronium_americanum_06e188bf-d63a-4738-8e20-598a6d293d5f.jpg	Erythronium_americanum	35.189775	-84.533923	1958.25753424658	95	362.94	13.823012880981	13.9477767944336	3.25920494397481
06e2d0bb-566f-427f-835c-8a358822127c	Erythronium_americanum_06e2d0bb-566f-427f-835c-8a358822127c.jpg	Erythronium_americanum	41.038136	-79.625668	1994.30684931507	113	262.82	8.67362654954195	7.46629556020101	-3.81400795777639
08248f0d-5eed-4674-b9d6-a9e9ecd29faf	Erythronium_americanum_08248f0d-5eed-4674-b9d6-a9e9ecd29faf.jpg	Erythronium_americanum	35.187909	-85.275795	1932.22950819672	85	307.31	14.6630728120605	13.0560195545355	7.92975910504659
087e3eb4-1e94-4b7d-b574-203c6849c6c4	Erythronium_americanum_087e3eb4-1e94-4b7d-b574-203c6849c6c4.jpg	Erythronium_americanum	35.922511	-83.963583	1934.24657534247	91	278.8	14.5441396062573	13.9989304145177	5.06440500418345
08d82b01-ab5e-4932-b464-69208e7e48e5	Erythronium_americanum_08d82b01-ab5e-4932-b464-69208e7e48e5.jpg	Erythronium_americanum	40.006811	-78.351504	1936.31420765027	116	302.42	9.29571223507325	9.37703784306844	-2.38448890050252
095d6208-a875-4d9f-bb70-f0d111d125ef	Erythronium_americanum_095d6208-a875-4d9f-bb70-f0d111d125ef.jpg	Erythronium_americanum	35.135278	-78.854722	2008.16666666667	62	22.21	16.9776850591103	16.5070453484853	9.52462634444237
09656db1-e1db-4789-b00d-ad93b02a1cf9	Erythronium_americanum_09656db1-e1db-4789-b00d-ad93b02a1cf9.jpg	Erythronium_americanum	40.22	-79.2327777778	1992.29508196721	109	427.31	8.68528633999328	7.92310883601507	-0.457489689191182
09ac2104-5f7c-48f3-b716-6ae808c413e3	Erythronium_americanum_09ac2104-5f7c-48f3-b716-6ae808c413e3.jpg	Erythronium_americanum	40.3257	-78.91814	1874.33424657534	123	356.72	8.40479715789358	6.25272046029568	-0.426279579599698
0a7c20f8-ad0d-4db8-b1bf-7d405756edc6	Erythronium_americanum_0a7c20f8-ad0d-4db8-b1bf-7d405756edc6.jpg	Erythronium_americanum	39.070046	-76.84306	1986.25479452055	94	37.46	12.701030595849	12.5176141560078	2.48539407551289
0b31282a-2497-4284-9b03-bf61ea61aeeb	Erythronium_americanum_0b31282a-2497-4284-9b03-bf61ea61aeeb.jpg	Erythronium_americanum	39.539598	-76.206661	1978.30410958904	112	82.31	11.23732074971	10.1337039470673	-0.993576248486837
0b76c684-d563-4abe-bbb1-c14666d572f0	Erythronium_americanum_0b76c684-d563-4abe-bbb1-c14666d572f0.jpg	Erythronium_americanum	40.041744	-79.101695	1992.33606557377	124	666.96	8.68528633999328	7.92310883601507	-0.457489689191182
0c844c06-1987-4c39-adf6-12012a0f3d90	Erythronium_americanum_0c844c06-1987-4c39-adf6-12012a0f3d90.jpg	Erythronium_americanum	39.134314	-84.539283	1879.27671232877	102	151.41	11.8915038208167	11.7614877422651	0.295754293600718
0cbd4825-516e-4e4c-839a-9c38b039807d	Erythronium_americanum_0cbd4825-516e-4e4c-839a-9c38b039807d.jpg	Erythronium_americanum	39.830236	-78.487876	1940.32786885246	121	312.54	8.9585868579646	7.59718871116638	-2.82023696104685
0d5016da-da28-4497-9bc3-956ce45a86b2	Erythronium_americanum_0d5016da-da28-4497-9bc3-956ce45a86b2.jpg	Erythronium_americanum	38.99407	-76.937323	1978.28767123288	106	20.75	12.3753892630339	11.3914230267207	0.30702938636144
0e4cb2b3-e2cd-412a-a29d-270c969dac84	Erythronium_americanum_0e4cb2b3-e2cd-412a-a29d-270c969dac84.jpg	Erythronium_americanum	40.480743	-79.043175	1952.32513661202	120	393.4	9.95294995854298	8.33231472969055	0.778661787509918
108d330e-31ff-4156-81d7-58a37e0ea783	Erythronium_americanum_108d330e-31ff-4156-81d7-58a37e0ea783.jpg	Erythronium_americanum	39.02	-77.013056	1974.28219178082	104	104.34	12.695893558984	12.4134049216906	4.19455654422442
10b1be94-1017-4cb8-aba9-f37dddbd7653	Erythronium_americanum_10b1be94-1017-4cb8-aba9-f37dddbd7653.jpg	Erythronium_americanum	38.2879	-78.365307	1972.3087431694	114	143.45	11.8258147283147	11.2407326474786	3.20204342156649
10b75f01-faab-4da0-8218-534bcf2b467a	Erythronium_americanum_10b75f01-faab-4da0-8218-534bcf2b467a.jpg	Erythronium_americanum	40.945047	-79.47012	1954.2904109589	107	361.31	9.53957535574833	8.52072874704997	-0.0950076977411906
116006d6-51e8-4026-9a83-62846e54ba2d	Erythronium_americanum_116006d6-51e8-4026-9a83-62846e54ba2d.jpg	Erythronium_americanum	36.51619	-85.641337	1991.24931506849	92	175.8	15.0663563410441	16.0262899398804	6.14306958516439
125b89c4-7c6c-4358-ac49-b1fb23caf43e	Erythronium_americanum_125b89c4-7c6c-4358-ac49-b1fb23caf43e.jpg	Erythronium_americanum	38.276934	-83.453686	1987.27397260274	101	256.07	12.6688530494769	12.625252087911	3.2025493979454
1264cd39-8ad9-4688-baf4-cb23d52e05ef	Erythronium_americanum_1264cd39-8ad9-4688-baf4-cb23d52e05ef.jpg	Erythronium_americanum	40.559512	-79.958493	1920.34972677596	129	275.25	9.33109735449155	8.41132257382075	-1.7564892967542
126d96cc-9961-404c-bef9-58de81e46a80	Erythronium_americanum_126d96cc-9961-404c-bef9-58de81e46a80.jpg	Erythronium_americanum	40.797054	-80.001579	1917.37808219178	139	289.49	7.84399821795523	7.47930835932493	-1.60353867957989
1271184e-2a2d-4b7b-9c90-644417776ef4	Erythronium_americanum_1271184e-2a2d-4b7b-9c90-644417776ef4.jpg	Erythronium_americanum	42.44153	-76.420439	1955.32054794521	118	310.25	8.03566816324989	7.89933814605077	-3.64358093341192
12ce25e0-c0c5-4fe4-9676-027f02501973	Erythronium_americanum_12ce25e0-c0c5-4fe4-9676-027f02501973.jpg	Erythronium_americanum	41.511615	-79.474418	1952.33879781421	125	386.12	8.19177750932674	6.42636011044184	-1.83033969004949
1320f1df-7cbe-4a21-85af-e7687ea28555	Erythronium_americanum_1320f1df-7cbe-4a21-85af-e7687ea28555.jpg	Erythronium_americanum	38.709397	-76.939338	1978.29863013699	110	11.53	12.6697480554382	11.6569482783477	0.624834179878235
