iDigBio_uuid	Image	Species	Latitude	Longitude	Year	DOY	Elevation	AnnualMonthlyAverageTemp	SpringMonthlyAverageTemp	FirstQuarterMonthlyAverageTemp
004f2bcc-02d5-4dff-b964-38a0450e1572	Podophyllum_peltatum_004f2bcc-02d5-4dff-b964-38a0450e1572.jpg	Podophyllum_peltatum	39.007388	-76.902858	1992.3306010929	122	21.62	12.056180652231	10.7997114956379	3.44751123090585
004fa64c-9ea3-4f56-a6bd-dca3a2297f4b	Podophyllum_peltatum_004fa64c-9ea3-4f56-a6bd-dca3a2297f4b.jpg	Podophyllum_peltatum	39.952655	-76.16235	1935.37808219178	139	188.17	10.810571519658	10.1533443133036	1.05777963995934
00c4d226-26a1-4e78-82fc-e27e2b5b8d43	Podophyllum_peltatum_00c4d226-26a1-4e78-82fc-e27e2b5b8d43.jpg	Podophyllum_peltatum	30.30021	-95.503008	1984.22677595628	84	43.34	20.060993514955	20.1587706357241	12.1866858800252
00e29a40-5c45-43dc-aea7-029468d3624e	Podophyllum_peltatum_00e29a40-5c45-43dc-aea7-029468d3624e.jpg	Podophyllum_peltatum	41.396	-72.9216	1961.39178082192	144	60.55	10.1550410492346	7.72139527027806	-1.04254766677817
00ec0989-93ef-4c31-9c85-9021502efc71	Podophyllum_peltatum_00ec0989-93ef-4c31-9c85-9021502efc71.jpg	Podophyllum_peltatum	40.794476	-77.845547	1930.37260273973	137	323.05	9.25121226596336	8.1189590121309	-0.521159944434961
011ae80c-dd74-4d87-9bf7-4476089b69d1	Podophyllum_peltatum_011ae80c-dd74-4d87-9bf7-4476089b69d1.jpg	Podophyllum_peltatum	42.455073	-76.437994	1904.37704918033	139	284.78	5.59354405974348	5.4124071598053	-7.06931471824646
017a17d4-33b7-4530-a744-2a75827189dd	Podophyllum_peltatum_017a17d4-33b7-4530-a744-2a75827189dd.jpg	Podophyllum_peltatum	39.011732	-76.574291	1977.30410958904	112	33.19	13.0412410249313	14.220143477122	2.38030383984248
01ad3c9e-60af-4cae-bbc9-f207104404be	Podophyllum_peltatum_01ad3c9e-60af-4cae-bbc9-f207104404be.jpg	Podophyllum_peltatum	40.123866	-78.31327	1961.40821917808	150	278.91	9.66821983021994	7.71500146389008	-0.443922718365987
01ca2017-68d6-469b-abbf-0d5b58f7443c	Podophyllum_peltatum_01ca2017-68d6-469b-abbf-0d5b58f7443c.jpg	Podophyllum_peltatum	32.5908782696	-88.1977550097	1962.21643835616	80	36.31	17.7777779102325	17.0329122543335	10.3488542437553
021212d2-6230-4319-8a2c-222ea838ff56	Podophyllum_peltatum_021212d2-6230-4319-8a2c-222ea838ff56.jpg	Podophyllum_peltatum	39.101123	-88.786728	1979.35068493151	129	186.45	10.5908628180623	10.8652471701304	-2.8868309656779
022b6ded-1bf9-4f48-8952-b6648d4f1f05	Podophyllum_peltatum_022b6ded-1bf9-4f48-8952-b6648d4f1f05.jpg	Podophyllum_peltatum	38.846726	-85.051131	1924.38797814208	143	257.98	10.9776617921889	9.88603605826696	-0.0205005208651225
023634bc-47e9-4a66-ba58-d5b843a61e64	Podophyllum_peltatum_023634bc-47e9-4a66-ba58-d5b843a61e64.jpg	Podophyllum_peltatum	40.717321	-75.196843	1891.35890410959	132	220.47	10.5917858183384	8.67855327328046	0.755417585372925
02e285a7-d4b8-4d2e-8aac-a3dce21de0ca	Podophyllum_peltatum_02e285a7-d4b8-4d2e-8aac-a3dce21de0ca.jpg	Podophyllum_peltatum	37.270762	-76.728565	1968.31420765027	116	15.73	14.44340244929	14.0094340046247	4.49591422080994
03abf06d-9271-4a0d-b6d6-71c90000cb92	Podophyllum_peltatum_03abf06d-9271-4a0d-b6d6-71c90000cb92.jpg	Podophyllum_peltatum	39.619892	-75.408652	1936.30054644809	111	0.64	12.4360889345407	12.5783589283625	1.2949809829394
03b29d6e-2609-487f-b744-01c712b7a463	Podophyllum_peltatum_03b29d6e-2609-487f-b744-01c712b7a463.jpg	Podophyllum_peltatum	41.571147	-85.423719	1920.40163934426	148	274.19	8.52577473968267	7.27532013257345	-3.97547924518585
03eb0948-35a1-49d0-8ee8-d4768c68c5ae	Podophyllum_peltatum_03eb0948-35a1-49d0-8ee8-d4768c68c5ae.jpg	Podophyllum_peltatum	40.328692	-75.841663	1928.3825136612	141	108.65	10.5940584167838	8.64495386679967	0.314939940969149
04326976-e44a-4339-8de9-a55006746ce3	Podophyllum_peltatum_04326976-e44a-4339-8de9-a55006746ce3.jpg	Podophyllum_peltatum	39.952335	-75.163789	1878.34794520548	128	10.78	12.5150214557846	12.6739511489868	3.6254924039046
04e59dfb-484b-4fe2-b4eb-824483fba633	Podophyllum_peltatum_04e59dfb-484b-4fe2-b4eb-824483fba633.jpg	Podophyllum_peltatum	39.615138	-75.262219	1917.3095890411	114	23.71	11.0287626354645	10.0530762871106	1.63256214062373
050509e1-28d2-4ba5-a93e-7dd79e82eca0	Podophyllum_peltatum_050509e1-28d2-4ba5-a93e-7dd79e82eca0.jpg	Podophyllum_peltatum	39.060697	-76.859807	1989.32876712329	121	55.76	12.0243094072988	11.1280760144194	3.46671602378289
051139bd-83a4-44b8-b309-2c3e6ab5d837	Podophyllum_peltatum_051139bd-83a4-44b8-b309-2c3e6ab5d837.jpg	Podophyllum_peltatum	38.782932	-85.51776	1934.34794520548	128	222.02	12.7395908652494	11.9581938385963	1.09067261219025
052ab8b5-4f1d-4449-af02-dbac829ddc40	Podophyllum_peltatum_052ab8b5-4f1d-4449-af02-dbac829ddc40.jpg	Podophyllum_peltatum	41.681728	-79.247268	1941.41095890411	151	544.37	7.48566386383027	6.1289970887204	-5.32035646711787
054900dd-e9d6-4a53-82f9-15522ed99732	Podophyllum_peltatum_054900dd-e9d6-4a53-82f9-15522ed99732.jpg	Podophyllum_peltatum	39.46611	-86.054986	1910.34794520548	128	216.64	10.7700957146784	12.0662748465935	1.89138738314311
0560cd79-3337-4f7f-a1f7-813451605e00	Podophyllum_peltatum_0560cd79-3337-4f7f-a1f7-813451605e00.jpg	Podophyllum_peltatum	39.954818	-80.467664	1941.32876712329	121	270.71	10.6649017011126	9.2348273396492	-1.64309936761856
057c6b26-ccbe-4dfa-8ca4-3f61ca10a0dc	Podophyllum_peltatum_057c6b26-ccbe-4dfa-8ca4-3f61ca10a0dc.jpg	Podophyllum_peltatum	40.413249	-80.001989	1928.39890710383	147	301.31	10.1565483305603	8.31428891420364	0.270814935366313
058498ca-158d-4d42-a321-0159af62ac27	Podophyllum_peltatum_058498ca-158d-4d42-a321-0159af62ac27.jpg	Podophyllum_peltatum	40.84395	-80.0732	1925.48767123288	179	311.42	9.47895124554634	8.85818652311961	0.358771602312724
05dea3d1-d310-4a5b-b71a-350515e4d42c	Podophyllum_peltatum_05dea3d1-d310-4a5b-b71a-350515e4d42c.jpg	Podophyllum_peltatum	41.6049	-72.88	2007.39178082192	144	44.35	10.246263852343	8.6940746307373	-0.890748679637909
0647fc19-fbeb-4ed6-806e-4e04efc43d78	Podophyllum_peltatum_0647fc19-fbeb-4ed6-806e-4e04efc43d78.jpg	Podophyllum_peltatum	38.125	-90.675	1989.32602739726	120	169.67	12.266644274195	12.4644660055637	3.13583340247472
067f9381-3561-4229-9290-3bf7dd4f9e62	Podophyllum_peltatum_067f9381-3561-4229-9290-3bf7dd4f9e62.jpg	Podophyllum_peltatum	35.960638	-83.920739	1931.3095890411	114	274.39	15.0137085417906	12.4823121627172	5.05486663182576
06a00121-0cf1-4b6a-b15e-31687711d2da	Podophyllum_peltatum_06a00121-0cf1-4b6a-b15e-31687711d2da.jpg	Podophyllum_peltatum	38.998999	-76.924141	1924.36612021858	135	20.53	11.8578502138456	10.6286394000053	2.50721144676208
06f79ad0-f411-40a4-84c9-5cd3e95c1a0d	Podophyllum_peltatum_06f79ad0-f411-40a4-84c9-5cd3e95c1a0d.jpg	Podophyllum_peltatum	40.555277	-78.555921	1955.36438356164	134	495.61	8.69248891870181	9.32044378916422	-1.85959138472875
077b6d1e-4aaf-4502-aeb9-2a07e549b3d9	Podophyllum_peltatum_077b6d1e-4aaf-4502-aeb9-2a07e549b3d9.jpg	Podophyllum_peltatum	38.907897	-76.65802	1994.31232876712	115	35.5	13.4681112617254	12.8566405574481	1.81051828463872
07d2a977-c2b9-4b9b-980c-b52a966f54a6	Podophyllum_peltatum_07d2a977-c2b9-4b9b-980c-b52a966f54a6.jpg	Podophyllum_peltatum	40.09722	-79.65556	1992.37978142077	140	307.92	10.5861572672923	9.88285341858864	1.56598620613416
08554c69-1647-4b49-ac62-c45c5bbca11a	Podophyllum_peltatum_08554c69-1647-4b49-ac62-c45c5bbca11a.jpg	Podophyllum_peltatum	39.86408	-75.282905	1901.35890410959	132	2.37	11.418091896611	10.2416402585804	0.724544295420249
0888faa7-3642-45eb-a687-eba573339217	Podophyllum_peltatum_0888faa7-3642-45eb-a687-eba573339217.jpg	Podophyllum_peltatum	41.83333	-79.43333	1994.44109589041	162	441.33	7.55953678737084	6.11172799269358	-5.39740598201752
08d40e71-7c25-4f8d-8157-12ffca555f16	Podophyllum_peltatum_08d40e71-7c25-4f8d-8157-12ffca555f16.jpg	Podophyllum_peltatum	38.9736	-76.931238	1984.32513661202	120	17.2	13.0926467056076	10.9032388031483	2.57414331038793
